indicator,date,rate
open,2021-12-03 20:00:00,161.3
high,2021-12-03 20:00:00,161.34
low,2021-12-03 20:00:00,161.2
close,2021-12-03 20:00:00,161.25
open,2021-12-03 19:59:00,161.35
high,2021-12-03 19:59:00,161.35
low,2021-12-03 19:59:00,161.28
close,2021-12-03 19:59:00,161.3
open,2021-12-03 19:58:00,161.31
high,2021-12-03 19:58:00,161.32
low,2021-12-03 19:58:00,161.3
close,2021-12-03 19:58:00,161.3
open,2021-12-03 19:57:00,161.38
high,2021-12-03 19:57:00,161.4
low,2021-12-03 19:57:00,161.3
close,2021-12-03 19:57:00,161.4
open,2021-12-03 19:56:00,161.38
high,2021-12-03 19:56:00,161.43
low,2021-12-03 19:56:00,161.38
close,2021-12-03 19:56:00,161.43
open,2021-12-03 19:55:00,161.37
high,2021-12-03 19:55:00,161.43
low,2021-12-03 19:55:00,161.37
close,2021-12-03 19:55:00,161.43
open,2021-12-03 19:54:00,161.37
high,2021-12-03 19:54:00,161.37
low,2021-12-03 19:54:00,161.37
close,2021-12-03 19:54:00,161.37
open,2021-12-03 19:53:00,161.37
high,2021-12-03 19:53:00,161.37
low,2021-12-03 19:53:00,161.37
close,2021-12-03 19:53:00,161.37
open,2021-12-03 19:52:00,161.36
high,2021-12-03 19:52:00,161.36
low,2021-12-03 19:52:00,161.36
close,2021-12-03 19:52:00,161.36
open,2021-12-03 19:51:00,161.36
high,2021-12-03 19:51:00,161.42
low,2021-12-03 19:51:00,161.36
close,2021-12-03 19:51:00,161.42
open,2021-12-03 19:50:00,161.35
high,2021-12-03 19:50:00,161.41
low,2021-12-03 19:50:00,161.35
close,2021-12-03 19:50:00,161.41
open,2021-12-03 19:49:00,161.35
high,2021-12-03 19:49:00,161.35
low,2021-12-03 19:49:00,161.35
close,2021-12-03 19:49:00,161.35
open,2021-12-03 19:48:00,161.4
high,2021-12-03 19:48:00,161.4
low,2021-12-03 19:48:00,161.4
close,2021-12-03 19:48:00,161.4
open,2021-12-03 19:47:00,161.42
high,2021-12-03 19:47:00,161.42
low,2021-12-03 19:47:00,161.42
close,2021-12-03 19:47:00,161.42
open,2021-12-03 19:45:00,161.41
high,2021-12-03 19:45:00,161.41
low,2021-12-03 19:45:00,161.41
close,2021-12-03 19:45:00,161.41
open,2021-12-03 19:44:00,161.41
high,2021-12-03 19:44:00,161.41
low,2021-12-03 19:44:00,161.4
close,2021-12-03 19:44:00,161.4
open,2021-12-03 19:43:00,161.4
high,2021-12-03 19:43:00,161.4
low,2021-12-03 19:43:00,161.4
close,2021-12-03 19:43:00,161.4
open,2021-12-03 19:42:00,161.5
high,2021-12-03 19:42:00,161.5
low,2021-12-03 19:42:00,161.45
close,2021-12-03 19:42:00,161.45
open,2021-12-03 19:41:00,161.55
high,2021-12-03 19:41:00,161.55
low,2021-12-03 19:41:00,161.5
close,2021-12-03 19:41:00,161.5
open,2021-12-03 19:40:00,161.5
high,2021-12-03 19:40:00,161.5
low,2021-12-03 19:40:00,161.5
